file,source,channel,start,peak,end,peak_value,unit,goes_class,duration_min,temperature_MK,hardness_ratio,description
evt,HEL1OS CdTe-events,hard,2026-06-29T00:33:05.216603,2026-06-29T00:40:05.216603,2026-06-29T00:44:05.216603,57.0655737704918,c/s,,12,28.5,0.034,"Hard X-ray flare (event list, CdTe) peaking 00:40 UTC, peak 57 c/s, 12 min. Real-energy spectrum gives T≈28.5 MK, hardness ratio 0.034."
evt,HEL1OS CdTe-events,hard,2026-06-29T00:47:05.216603,2026-06-29T00:48:05.216603,2026-06-29T00:50:05.216603,10.338983050847459,c/s,,4,29.2,0.04,"Hard X-ray flare (event list, CdTe) peaking 00:48 UTC, peak 10 c/s, 4 min. Real-energy spectrum gives T≈29.2 MK, hardness ratio 0.04."
evt,HEL1OS CdTe-events,hard,2026-06-29T02:28:05.216603,2026-06-29T02:30:05.216603,2026-06-29T02:32:05.216603,18.65,c/s,,5,30.9,0.045,"Hard X-ray flare (event list, CdTe) peaking 02:30 UTC, peak 19 c/s, 5 min. Real-energy spectrum gives T≈30.9 MK, hardness ratio 0.045."
evt,HEL1OS CdTe-events,hard,2026-06-29T02:48:05.216603,2026-06-29T02:49:05.216603,2026-06-29T02:51:05.216603,17.183333333333334,c/s,,4,29.4,0.036,"Hard X-ray flare (event list, CdTe) peaking 02:49 UTC, peak 17 c/s, 4 min. Real-energy spectrum gives T≈29.4 MK, hardness ratio 0.036."
evt,HEL1OS CdTe-events,hard,2026-06-29T03:12:05.216603,2026-06-29T03:16:05.216603,2026-06-29T03:31:05.216603,62.6271186440678,c/s,,20,28.9,0.032,"Hard X-ray flare (event list, CdTe) peaking 03:16 UTC, peak 63 c/s, 20 min. Real-energy spectrum gives T≈28.9 MK, hardness ratio 0.032."
evt,HEL1OS CdTe-events,hard,2026-06-29T05:25:05.216603,2026-06-29T05:27:05.216603,2026-06-29T05:29:05.216603,9.966101694915254,c/s,,5,30.6,0.05,"Hard X-ray flare (event list, CdTe) peaking 05:27 UTC, peak 10 c/s, 5 min. Real-energy spectrum gives T≈30.6 MK, hardness ratio 0.05."
evt,HEL1OS CdTe-events,hard,2026-06-29T07:46:05.216603,2026-06-29T07:51:05.216603,2026-06-29T08:01:05.216603,101.91666666666667,c/s,,16,24.6,0.016,"Hard X-ray flare (event list, CdTe) peaking 07:51 UTC, peak 102 c/s, 16 min. Real-energy spectrum gives T≈24.6 MK, hardness ratio 0.016."
evt,HEL1OS CdTe-events,hard,2026-06-29T08:17:05.216603,2026-06-29T08:25:05.216603,2026-06-29T08:31:05.216603,42.166666666666664,c/s,,15,20.3,0.009,"Hard X-ray flare (event list, CdTe) peaking 08:25 UTC, peak 42 c/s, 15 min. Real-energy spectrum gives T≈20.3 MK, hardness ratio 0.009."
evt,HEL1OS CdTe-events,hard,2026-06-29T09:05:05.216603,2026-06-29T09:06:05.216603,2026-06-29T09:09:05.216603,101.01694915254237,c/s,,5,28.4,0.03,"Hard X-ray flare (event list, CdTe) peaking 09:06 UTC, peak 101 c/s, 5 min. Real-energy spectrum gives T≈28.4 MK, hardness ratio 0.03."
evt,HEL1OS CdTe-events,hard,2026-06-29T09:55:05.216603,2026-06-29T09:59:05.216603,2026-06-29T10:05:05.216603,20.508196721311474,c/s,,11,27.0,0.027,"Hard X-ray flare (event list, CdTe) peaking 09:59 UTC, peak 21 c/s, 11 min. Real-energy spectrum gives T≈27.0 MK, hardness ratio 0.027."
evt,HEL1OS CdTe-events,hard,2026-06-29T11:24:05.216603,2026-06-29T11:24:05.216603,2026-06-29T11:26:05.216603,14.966101694915254,c/s,,3,32.6,0.057,"Hard X-ray flare (event list, CdTe) peaking 11:24 UTC, peak 15 c/s, 3 min. Real-energy spectrum gives T≈32.6 MK, hardness ratio 0.057."
