event,peak,start,end,instruments,channels,peak_value,unit,goes_class,hard_to_soft_lead_min,n_detections,description
1,2026-06-29T00:40:05.216603,2026-06-29T00:33:05.216603,2026-06-29T00:50:05.216603,HEL1OS CdTe-events,hard,57.0655737704918,c/s,,,2,"Flare peaking 00:40 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 57.1 c/s, total span 17 min. Hard-only (no soft instrument matched this event)."
2,2026-06-29T02:30:05.216603,2026-06-29T02:28:05.216603,2026-06-29T02:32:05.216603,HEL1OS CdTe-events,hard,18.65,c/s,,,1,"Flare peaking 02:30 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 18.6 c/s, total span 4 min. Hard-only (no soft instrument matched this event)."
3,2026-06-29T02:49:05.216603,2026-06-29T02:48:05.216603,2026-06-29T02:51:05.216603,HEL1OS CdTe-events,hard,17.183333333333334,c/s,,,1,"Flare peaking 02:49 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 17.2 c/s, total span 3 min. Hard-only (no soft instrument matched this event)."
4,2026-06-29T03:16:05.216603,2026-06-29T03:12:05.216603,2026-06-29T03:31:05.216603,HEL1OS CdTe-events,hard,62.6271186440678,c/s,,,1,"Flare peaking 03:16 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 62.6 c/s, total span 19 min. Hard-only (no soft instrument matched this event)."
5,2026-06-29T05:27:05.216603,2026-06-29T05:25:05.216603,2026-06-29T05:29:05.216603,HEL1OS CdTe-events,hard,9.966101694915254,c/s,,,1,"Flare peaking 05:27 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 9.97 c/s, total span 4 min. Hard-only (no soft instrument matched this event)."
6,2026-06-29T07:51:05.216603,2026-06-29T07:46:05.216603,2026-06-29T08:01:05.216603,HEL1OS CdTe-events,hard,101.91666666666667,c/s,,,1,"Flare peaking 07:51 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 102 c/s, total span 15 min. Hard-only (no soft instrument matched this event)."
7,2026-06-29T08:25:05.216603,2026-06-29T08:17:05.216603,2026-06-29T08:31:05.216603,HEL1OS CdTe-events,hard,42.166666666666664,c/s,,,1,"Flare peaking 08:25 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 42.2 c/s, total span 14 min. Hard-only (no soft instrument matched this event)."
8,2026-06-29T09:06:05.216603,2026-06-29T09:05:05.216603,2026-06-29T09:09:05.216603,HEL1OS CdTe-events,hard,101.01694915254237,c/s,,,1,"Flare peaking 09:06 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 101 c/s, total span 4 min. Hard-only (no soft instrument matched this event)."
9,2026-06-29T09:59:05.216603,2026-06-29T09:55:05.216603,2026-06-29T10:05:05.216603,HEL1OS CdTe-events,hard,20.508196721311474,c/s,,,1,"Flare peaking 09:59 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 20.5 c/s, total span 10 min. Hard-only (no soft instrument matched this event)."
10,2026-06-29T11:24:05.216603,2026-06-29T11:24:05.216603,2026-06-29T11:26:05.216603,HEL1OS CdTe-events,hard,14.966101694915254,c/s,,,1,"Flare peaking 11:24 UTC on 2026-06-29, seen by HEL1OS CdTe-events (hard X-ray). Strongest peak 15 c/s, total span 2 min. Hard-only (no soft instrument matched this event)."
